#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-miR-107	19893.00	hsa-mir-107	19893.00	1867.00	3326.00	3615.00	4185.00	3746.00	3154.00	717.32	586.46	597.63	699.28	870.55	610.30
hsa-miR-10a-5p	388.00	hsa-mir-10a	388.00	4.00	15.00	0	224.00	115.00	30.00	1.54	2.64	0	37.43	26.73	5.80
hsa-miR-10a-3p	3.00	hsa-mir-10a	3.00	0	0	0	2.00	0	1.00	0	0	0	0.33	0	0.19
hsa-miR-10b-5p	1705.00	hsa-mir-10b	1705.00	29.00	72.00	29.00	847.00	435.00	293.00	11.14	12.70	4.79	141.53	101.09	56.70
hsa-miR-10b-3p	57.00	hsa-mir-10b	57.00	0	0	0	44.00	0	13.00	0	0	0	7.35	0	2.52
hsa-miR-11181-3p	0.00	hsa-mir-11181	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11181-5p	0.00	hsa-mir-11181	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11399	0.00	hsa-mir-11399	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11400	0.00	hsa-mir-11400	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-11401	0.00	hsa-mir-11401	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-3p	0.00	hsa-mir-1178	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-5p	0.00	hsa-mir-1178	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	86.00	hsa-mir-1179	86.00	1.00	49.00	15.00	11.00	0	10.00	0.38	8.64	2.48	1.84	0	1.93
hsa-miR-1180-5p	50.00	hsa-mir-1180	50.00	0	0	0	8.00	42.00	0	0	0	0	1.34	9.76	0
hsa-miR-1180-3p	5065.00	hsa-mir-1180	5065.00	543.00	1203.00	1262.00	941.00	573.00	543.00	208.63	212.12	208.63	157.23	133.16	105.07
hsa-miR-1181	0.00	hsa-mir-1181	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1182	0.00	hsa-mir-1182	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1183	0.00	hsa-mir-1183	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0.00	hsa-mir-1184-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0.00	hsa-mir-1184-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1184	0.00	hsa-mir-1184-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1185-5p	15.00	hsa-mir-1185-1	15.00	0	0	0	0	15.00	0	0	0	0	0	3.49	0
hsa-miR-1185-1-3p	70.00	hsa-mir-1185-1	70.00	0	55.00	0	11.00	0	4.00	0	9.70	0	1.84	0	0.77
hsa-miR-1185-5p	15.00	hsa-mir-1185-2	15.00	0	0	0	0	15.00	0	0	0	0	0	3.49	0
hsa-miR-1185-2-3p	79.00	hsa-mir-1185-2	79.00	0	69.00	0	9.00	0	1.00	0	12.17	0	1.50	0	0.19
hsa-miR-1193	0.00	hsa-mir-1193	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1197	10.00	hsa-mir-1197	10.00	0	8.00	0	0	0	2.00	0	1.41	0	0	0	0.39
hsa-miR-1199-5p	0.00	hsa-mir-1199	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-3p	0.00	hsa-mir-1199	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1200	0.00	hsa-mir-1200	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	0.00	hsa-mir-1202	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0.00	hsa-mir-1203	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	0.00	hsa-mir-1204	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1205	0.00	hsa-mir-1205	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0.00	hsa-mir-1206	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-5p	0.00	hsa-mir-1207	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1207-3p	0.00	hsa-mir-1207	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1208	0.00	hsa-mir-1208	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12113	0.00	hsa-mir-12113	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12114	0.00	hsa-mir-12114	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12115	0.00	hsa-mir-12115	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12116	0.00	hsa-mir-12116	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12117	0.00	hsa-mir-12117	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12118	0.00	hsa-mir-12118	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12119	0.00	hsa-mir-12119	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12120	0.00	hsa-mir-12120	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12121	0.00	hsa-mir-12121	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12122	0.00	hsa-mir-12122	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12123	0.00	hsa-mir-12123	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12124	0.00	hsa-mir-12124	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12125	0.00	hsa-mir-12125	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12126	0.00	hsa-mir-12126	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12127	0.00	hsa-mir-12127	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12128	0.00	hsa-mir-12128	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12129	95.00	hsa-mir-12129	95.00	7.00	0	43.00	23.00	4.00	18.00	2.69	0	7.11	3.84	0.93	3.48
hsa-miR-12130	0.00	hsa-mir-12130	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12131	0.00	hsa-mir-12131	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12132	0.00	hsa-mir-12132	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12133	0.00	hsa-mir-12133	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12135	1291.00	hsa-mir-12135	1291.00	74.00	256.00	130.00	252.00	379.00	200.00	28.43	45.14	21.49	42.11	88.08	38.70
hsa-miR-12136	1730.00	hsa-mir-12136	1730.00	237.00	289.00	257.00	128.00	469.00	350.00	91.06	50.96	42.49	21.39	108.99	67.72
hsa-miR-122-3p	68.00	hsa-mir-122	68.00	0	68.00	0	0	0	0	0	11.99	0	0	0	0
hsa-miR-122-5p	755.00	hsa-mir-122	755.00	74.00	408.00	121.00	50.00	41.00	61.00	28.43	71.94	20.00	8.35	9.53	11.80
hsa-miR-1224-5p	131.00	hsa-mir-1224	131.00	0	92.00	17.00	3.00	17.00	2.00	0	16.22	2.81	0.50	3.95	0.39
hsa-miR-1224-3p	0.00	hsa-mir-1224	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-3p	0.00	hsa-mir-1225	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0.00	hsa-mir-1225	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	113.00	hsa-mir-1226	113.00	25.00	62.00	25.00	0	0	1.00	9.61	10.93	4.13	0	0	0.19
hsa-miR-1226-5p	21.00	hsa-mir-1226	21.00	0	0	0	5.00	16.00	0	0	0	0	0.84	3.72	0
hsa-miR-1227-3p	0.00	hsa-mir-1227	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1227-5p	0.00	hsa-mir-1227	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	18.00	hsa-mir-1228	18.00	12.00	0	0	0	6.00	0	4.61	0	0	0	1.39	0
hsa-miR-1228-5p	0.00	hsa-mir-1228	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1229-3p	20.00	hsa-mir-1229	20.00	0	7.00	13.00	0	0	0	0	1.23	2.15	0	0	0
hsa-miR-1229-5p	0.00	hsa-mir-1229	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-3p	30.00	hsa-mir-122b	30.00	0	30.00	0	0	0	0	0	5.29	0	0	0	0
hsa-miR-122b-5p	0.00	hsa-mir-122b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1231	0.00	hsa-mir-1231	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0.00	hsa-mir-1233-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-3p	0.00	hsa-mir-1233-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1234-3p	23.00	hsa-mir-1234	23.00	6.00	0	8.00	0	0	9.00	2.31	0	1.32	0	0	1.74
hsa-miR-1236-5p	0.00	hsa-mir-1236	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1236-3p	0.00	hsa-mir-1236	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-5p	0.00	hsa-mir-1237	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1237-3p	0.00	hsa-mir-1237	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-5p	0.00	hsa-mir-1238	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1238-3p	0.00	hsa-mir-1238	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	35.00	hsa-mir-124-1	35.00	0	0	0	0	35.00	0	0	0	0	0	8.13	0
hsa-miR-124-5p	0.00	hsa-mir-124-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	35.00	hsa-mir-124-2	35.00	0	0	0	0	35.00	0	0	0	0	0	8.13	0
hsa-miR-124-5p	0.00	hsa-mir-124-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	35.00	hsa-mir-124-3	35.00	0	0	0	0	35.00	0	0	0	0	0	8.13	0
hsa-miR-1243	13.00	hsa-mir-1243	13.00	5.00	0	0	5.00	0	3.00	1.92	0	0	0.84	0	0.58
hsa-miR-1244	0.00	hsa-mir-1244-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0.00	hsa-mir-1244-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0.00	hsa-mir-1244-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	0.00	hsa-mir-1244-4	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245a	0.00	hsa-mir-1245a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0.00	hsa-mir-1245b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	3.00	hsa-mir-1245b	3.00	0	0	0	3.00	0	0	0	0	0	0.50	0	0
hsa-miR-1246	36632.00	hsa-mir-1246	36632.00	5103.00	7931.00	8573.00	2770.00	3418.00	8837.00	1960.62	1398.43	1417.29	462.85	794.32	1709.96
hsa-miR-1247-3p	0.00	hsa-mir-1247	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1247-5p	0.00	hsa-mir-1247	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1248	14.00	hsa-mir-1248	14.00	0	0	0	14.00	0	0	0	0	0	2.34	0	0
hsa-miR-1249-5p	4.00	hsa-mir-1249	4.00	0	4.00	0	0	0	0	0	0.71	0	0	0	0
hsa-miR-1249-3p	432.00	hsa-mir-1249	432.00	42.00	56.00	171.00	72.00	45.00	46.00	16.14	9.87	28.27	12.03	10.46	8.90
hsa-miR-1250-5p	0.00	hsa-mir-1250	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-3p	0.00	hsa-mir-1250	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-5p	0.00	hsa-mir-1251	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1251-3p	0.00	hsa-mir-1251	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	0.00	hsa-mir-1252	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-5p	0.00	hsa-mir-1252	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1253	0.00	hsa-mir-1253	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255a	23.00	hsa-mir-1255a	23.00	12.00	0	0	0	1.00	10.00	4.61	0	0	0	0.23	1.93
hsa-miR-1255b-5p	18.00	hsa-mir-1255b-1	18.00	0	3.00	0	0	15.00	0	0	0.53	0	0	3.49	0
hsa-miR-1255b-5p	18.00	hsa-mir-1255b-2	18.00	0	3.00	0	0	15.00	0	0	0.53	0	0	3.49	0
hsa-miR-1255b-2-3p	0.00	hsa-mir-1255b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1256	0.00	hsa-mir-1256	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1257	0.00	hsa-mir-1257	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1258	15.00	hsa-mir-1258	15.00	0	0	15.00	0	0	0	0	0	2.48	0	0	0
hsa-miR-125a-5p	432831.00	hsa-mir-125a	432831.00	34322.00	78422.00	93472.00	83104.00	72434.00	71077.00	13186.85	13827.76	15452.81	13886.05	16833.26	13753.39
hsa-miR-125a-3p	1781.00	hsa-mir-125a	1781.00	291.00	326.00	293.00	349.00	252.00	270.00	111.81	57.48	48.44	58.32	58.56	52.24
hsa-miR-125b-5p	75635.00	hsa-mir-125b-1	75635.00	8459.00	17347.00	15098.00	14416.00	9495.00	10820.00	3250.03	3058.71	2496.00	2408.81	2206.59	2093.67
hsa-miR-125b-1-3p	134.00	hsa-mir-125b-1	134.00	0	15.00	10.00	19.00	50.00	40.00	0	2.64	1.65	3.17	11.62	7.74
hsa-miR-125b-2-3p	3051.00	hsa-mir-125b-2	3051.00	367.00	669.00	594.00	559.00	342.00	520.00	141.00	117.96	98.20	93.40	79.48	100.62
hsa-miR-125b-5p	75277.00	hsa-mir-125b-2	75277.00	8420.00	17248.00	14990.00	14358.00	9466.00	10795.00	3235.05	3041.25	2478.15	2399.11	2199.85	2088.83
hsa-miR-126-5p	186.00	hsa-mir-126	186.00	40.00	64.00	24.00	34.00	0	24.00	15.37	11.28	3.97	5.68	0	4.64
hsa-miR-126-3p	301.00	hsa-mir-126	301.00	25.00	95.00	23.00	86.00	28.00	44.00	9.61	16.75	3.80	14.37	6.51	8.51
hsa-miR-1260a	43752.00	hsa-mir-1260a	43752.00	3138.00	7699.00	7286.00	8852.00	9565.00	7212.00	1205.65	1357.53	1204.52	1479.10	2222.85	1395.52
hsa-miR-1260b	48245.00	hsa-mir-1260b	48245.00	3538.00	8460.00	7856.00	9937.00	10535.00	7919.00	1359.33	1491.71	1298.76	1660.40	2448.28	1532.33
hsa-miR-1261	5.00	hsa-mir-1261	5.00	0	0	5.00	0	0	0	0	0	0.83	0	0	0
hsa-miR-1262	292.00	hsa-mir-1262	292.00	18.00	172.00	78.00	6.00	10.00	8.00	6.92	30.33	12.89	1.00	2.32	1.55
hsa-miR-1263	0.00	hsa-mir-1263	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1264	0.00	hsa-mir-1264	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1265	5.00	hsa-mir-1265	5.00	5.00	0	0	0	0	0	1.92	0	0	0	0	0
hsa-miR-1266-3p	0.00	hsa-mir-1266	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	0.00	hsa-mir-1266	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1267	14.00	hsa-mir-1267	14.00	0	0	14.00	0	0	0	0	0	2.31	0	0	0
hsa-miR-1268a	3599.00	hsa-mir-1268a	3599.00	415.00	167.00	1134.00	869.00	498.00	516.00	159.45	29.45	187.47	145.20	115.73	99.85
